scientific,common,order,family,birdnet_label,birdnet_how
Gymnobelideus leadbeateri,Leadbeater's Possum,Diprotodontia,Petauridae,,none
Petaurus abidi,Northern Glider,Diprotodontia,Petauridae,,none
Petaurus ariel,Savanna Glider,Diprotodontia,Petauridae,,none
Petaurus australis,Yellow-bellied Glider,Diprotodontia,Petauridae,Petaurus australis_Yellow-bellied Glider,exact
Petaurus biacensis,Biak Glider,Diprotodontia,Petauridae,,none
Petaurus breviceps,Sugar Glider,Diprotodontia,Petauridae,Petaurus breviceps_Sugar Glider,exact
Petaurus gracilis,Mahogany Glider,Diprotodontia,Petauridae,,none
Petaurus norfolcensis,Squirrel Glider,Diprotodontia,Petauridae,Petaurus norfolcensis_Squirrel Glider,exact
Petaurus notatus,Krefft's Glider,Diprotodontia,Petauridae,Petaurus notatus_Krefft's Glider,exact
Petaurus papuanus,New Guinea Glider,Diprotodontia,Petauridae,,none
Hemibelideus lemuroides,Lemuroid Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Petauroides armillatus,Central Greater Glider,Diprotodontia,Pseudocheiridae,,none
Petauroides minor,Northern Greater Glider,Diprotodontia,Pseudocheiridae,,none
Petauroides volans,Southern Greater Glider,Diprotodontia,Pseudocheiridae,Petauroides volans_Greater Glider,exact
Tous ayamaruensis,Ring-tailed Glider,Diprotodontia,Pseudocheiridae,,none
Pseudocheirus occidentalis,Western Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudocheirus peregrinus,Eastern Ring-tailed Possum,Diprotodontia,Pseudocheiridae,Pseudocheirus peregrinus_Common Ring-tailed Possum,exact
Pseudochirulus canescens,Lowland Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus caroli,Weyland Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus cinereus,Daintree River Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus forbesi,Painted Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus herbertensis,Herbert River Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus larvatus,Masked Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus mayeri,Pygmy Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirulus schlegelii,Arfak Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirops albertisii,D'Albertis's Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirops archeri,Green Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirops corinnae,Plush-coated Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirops coronatus,Reclusive Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirops cupreus,Coppery Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Pseudochirops dahlii,Rock Ring-tailed Possum,Diprotodontia,Pseudocheiridae,,none
Tarsipes rostratus,Honey Possum,Diprotodontia,Tarsipedidae,,none
Ailurops furvus,Mountain Bear Cuscus,Diprotodontia,Phalangeridae,,none
Ailurops melanotis,Talaud Bear Cuscus,Diprotodontia,Phalangeridae,,none
Ailurops ursinus,Common Bear Cuscus,Diprotodontia,Phalangeridae,,none
Strigocuscus celebensis,Small Sulawesi Cuscus,Diprotodontia,Phalangeridae,,none
Strigocuscus sangirensis,Small Sangihe Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger alexandrae,Gebe Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger breviceps,New Britain Cuscus,Diprotodontia,Phalangeridae,Phalanger breviceps_New Britain Cuscus,exact
Phalanger carmelitae,Mountain Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger gymnotis,Ground Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger intercastellanus,Eastern Common Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger lullulae,Woodlark Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger matabiru,Blue-eyed Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger matanim,Telefomin Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger mimicus,Southern Common Cuscus,Diprotodontia,Phalangeridae,Phalanger mimicus_Southern Common Cuscus,exact
Phalanger orientalis,Northern Common Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger ornatus,Moluccan Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger pelengensis,Peleng Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger rothschildi,Obi Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger sericeus,Silky Cuscus,Diprotodontia,Phalangeridae,,none
Phalanger vestitus,Stein's Cuscus,Diprotodontia,Phalangeridae,,none
Spilocuscus kraemeri,Admiralty Spotted Cuscus,Diprotodontia,Phalangeridae,,none
Spilocuscus maculatus,Common Spotted Cuscus,Diprotodontia,Phalangeridae,,none
Spilocuscus nudicaudatus,Australian Spotted Cuscus,Diprotodontia,Phalangeridae,Spilocuscus nudicaudatus_Australian Spotted Cuscus,exact
Spilocuscus papuensis,Waigeo Spotted Cuscus,Diprotodontia,Phalangeridae,,none
Spilocuscus rufoniger,Black Spotted Cuscus,Diprotodontia,Phalangeridae,,none
Spilocuscus wilsoni,Blue-eyed Spotted Cuscus,Diprotodontia,Phalangeridae,,none
Trichosurus caninus,Short-eared Brush-tailed Possum,Diprotodontia,Phalangeridae,Trichosurus caninus_Short-eared Brush-tailed Possum,exact
Trichosurus cunninghami,Mountain Brush-tailed Possum,Diprotodontia,Phalangeridae,Trichosurus cunninghami_Mountain Brush-tailed Possum,exact
Trichosurus johnstonii,Coppery Brush-tailed Possum,Diprotodontia,Phalangeridae,,none
Trichosurus vulpecula,Common Brush-tailed Possum,Diprotodontia,Phalangeridae,Trichosurus vulpecula_Common Brushtail Possum,exact
Wyulda squamicaudata,Scaly-tailed Possum,Diprotodontia,Phalangeridae,,none
Phascolarctos cinereus,Koala,Diprotodontia,Phascolarctidae,Phascolarctos cinereus_Koala,exact
Lasiorhinus krefftii,Northern Hairy-nosed Wombat,Diprotodontia,Vombatidae,,none
Lasiorhinus latifrons,Southern Hairy-nosed Wombat,Diprotodontia,Vombatidae,,none
Vombatus ursinus,Common Wombat,Diprotodontia,Vombatidae,Vombatus ursinus_Bare-nosed Wombat,exact
Calyptophractus retusus,Greater Fairy Armadillo,Cingulata,Chlamyphoridae,,none
Chlamyphorus truncatus,Pink Fairy Armadillo,Cingulata,Chlamyphoridae,,none
Chaetophractus villosus,Large Hairy Armadillo,Cingulata,Euphractidae,Chaetophractus villosus_Large Hairy Armadillo,exact
Dasyphractus vellerosus,Screaming Hairy Armadillo,Cingulata,Euphractidae,,none
Euphractus sexcinctus,Six-banded Armadillo,Cingulata,Euphractidae,,none
Zaedyus pichiy,Pichi,Cingulata,Euphractidae,,none
Cabassous centralis,Northern Naked-tailed Armadillo,Cingulata,Tolypeutidae,,none
Cabassous chacoensis,Chacoan Naked-tailed Armadillo,Cingulata,Tolypeutidae,,none
Cabassous squamicaudis,Cerrado Naked-tailed Armadillo,Cingulata,Tolypeutidae,,none
Cabassous tatouay,Greater Naked-tailed Armadillo,Cingulata,Tolypeutidae,,none
Cabassous unicinctus,Amazon Naked-tailed Armadillo,Cingulata,Tolypeutidae,Cabassous unicinctus_Southern Naked-tailed Armadillo,exact
Priodontes maximus,Giant Armadillo,Cingulata,Tolypeutidae,,none
Tolypeutes matacus,Southern Three-banded Armadillo,Cingulata,Tolypeutidae,,none
Tolypeutes tricinctus,Brazilian Three-banded Armadillo,Cingulata,Tolypeutidae,,none
Dasypus beniensis,Eastern Greater Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus fenestratus,Western Andean Long-nosed Armadillo,Cingulata,Dasypodidae,Dasypus fenestratus_West Andean Long-nosed Armadillo,exact
Dasypus guianensis,Guianan Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus kappleri,Guianan Greater Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus mazzai,Yungas Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus mexicanus,Mexican Long-nosed Armadillo,Cingulata,Dasypodidae,Dasypus mexicanus_Mexican Long-nosed Armadillo,exact
Dasypus novemcinctus,Southern Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus pastasae,Western Greater Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus pilosus,Hairy Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus sabanicola,Llanos Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Dasypus septemcinctus,Seven-banded Long-nosed Armadillo,Cingulata,Dasypodidae,,none
Bradypus crinitus,Southern Maned Three-toed Sloth,Pilosa,Bradypodidae,,none
Bradypus pygmaeus,Pygmy Three-toed Sloth,Pilosa,Bradypodidae,,none
Bradypus torquatus,Northern Maned Three-toed Sloth,Pilosa,Bradypodidae,,none
Bradypus tridactylus,Pale-throated Three-toed Sloth,Pilosa,Bradypodidae,,none
Bradypus variegatus,Brown-throated Three-toed Sloth,Pilosa,Bradypodidae,Bradypus variegatus_Brown-throated Three-toed Sloth,exact
Choloepus didactylus,Linnaeus's Two-toed Sloth,Pilosa,Choloepodidae,,none
Choloepus hoffmanni,Hoffmann's Two-toed Sloth,Pilosa,Choloepodidae,,none
Cyclopes catellus,Amboro Silky Anteater,Pilosa,Cyclopedidae,,none
Cyclopes didactylus,Common Silky Anteater,Pilosa,Cyclopedidae,,none
Cyclopes dorsalis,Central American Silky Anteater,Pilosa,Cyclopedidae,,none
Cyclopes ida,Rio Negro Silky Anteater,Pilosa,Cyclopedidae,,none
Cyclopes rufus,Red Silky Anteater,Pilosa,Cyclopedidae,,none
Cyclopes thomasi,Thomas's Silky Anteater,Pilosa,Cyclopedidae,,none
Cyclopes xinguensis,Xingu Silky Anteater,Pilosa,Cyclopedidae,,none
Myrmecophaga tridactyla,Giant Anteater,Pilosa,Myrmecophagidae,Myrmecophaga tridactyla_Giant Anteater,exact
Tamandua mexicana,Northern Tamandua,Pilosa,Myrmecophagidae,Tamandua mexicana_Northern Tamandua,exact
Tamandua tetradactyla,Southern Tamandua,Pilosa,Myrmecophagidae,Tamandua tetradactyla_Southern Tamandua,exact
Elephantulus brachyrhynchus,Short-snouted Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus edwardii,Cape Rock Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus fuscipes,Dusky-footed Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus fuscus,Dusky Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus intufi,Bushveld Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus myurus,Eastern Rock Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus pilicaudus,Karoo Rock Sengi,Macroscelidea,Macroscelididae,,none
Elephantulus rupestris,Western Rock Sengi,Macroscelidea,Macroscelididae,,none
Galegeeska revoilii,Somali Sengi,Macroscelidea,Macroscelididae,,none
Galegeeska rufescens,Rufous Sengi,Macroscelidea,Macroscelididae,,none
Macroscelides flavicaudatus,Namib Round-eared Sengi,Macroscelidea,Macroscelididae,,none
Macroscelides micus,Etendeka Round-eared Sengi,Macroscelidea,Macroscelididae,,none
Macroscelides proboscideus,Karoo Round-eared Sengi,Macroscelidea,Macroscelididae,,none
Petrodromus tetradactylus,Four-toed Sengi,Macroscelidea,Macroscelididae,,none
Petrosaltator rozeti,North African Sengi,Macroscelidea,Macroscelididae,,none
Rhynchocyon chrysopygus,Golden-rumped Sengi,Macroscelidea,Macroscelididae,,none
Rhynchocyon cirnei,Chequered Sengi,Macroscelidea,Macroscelididae,,none
Rhynchocyon petersi,Black-and-rufous Sengi,Macroscelidea,Macroscelididae,Rhynchocyon petersi_Black-and-rufous Sengi,exact
Rhynchocyon stuhlmanni,White-tailed Sengi,Macroscelidea,Macroscelididae,,none
Rhynchocyon udzungwensis,Gray-faced Sengi,Macroscelidea,Macroscelididae,,none
Amblysomus corriae,Fynbos Golden Mole,Afrosoricida,Chrysochloridae,,none
Amblysomus hottentotus,Hottentot Golden Mole,Afrosoricida,Chrysochloridae,,none
Amblysomus marleyi,Marley's Golden Mole,Afrosoricida,Chrysochloridae,,none
Amblysomus robustus,Robust Golden Mole,Afrosoricida,Chrysochloridae,,none
Amblysomus septentrionalis,Highveld Golden Mole,Afrosoricida,Chrysochloridae,,none
Calcochloris obtusirostris,Yellow Golden Mole,Afrosoricida,Chrysochloridae,,none
Huetia leucorhina,Congo Golden Mole,Afrosoricida,Chrysochloridae,,none
Huetia tytonis,Somali Golden Mole,Afrosoricida,Chrysochloridae,,none
Neamblysomus gunningi,Gunning's Golden Mole,Afrosoricida,Chrysochloridae,,none
Neamblysomus julianae,Juliana's Golden Mole,Afrosoricida,Chrysochloridae,,none
Carpitalpa arendsi,Arends's Golden Mole,Afrosoricida,Chrysochloridae,,none
Chlorotalpa duthieae,Duthie's Golden Mole,Afrosoricida,Chrysochloridae,,none
Chlorotalpa sclateri,Sclater's Golden Mole,Afrosoricida,Chrysochloridae,,none
Chrysochloris asiatica,Cape Golden Mole,Afrosoricida,Chrysochloridae,,none
Chrysochloris stuhlmanni,Stuhlmann's Golden Mole,Afrosoricida,Chrysochloridae,,none
Chrysochloris visagiei,Visagie's Golden Mole,Afrosoricida,Chrysochloridae,,none
Chrysospalax trevelyani,Giant Golden Mole,Afrosoricida,Chrysochloridae,,none
Chrysospalax villosus,Rough-haired Golden Mole,Afrosoricida,Chrysochloridae,,none
Cryptochloris wintoni,De Winton's Golden Mole,Afrosoricida,Chrysochloridae,,none
Cryptochloris zyli,Van Zyl's Golden Mole,Afrosoricida,Chrysochloridae,,none
Eremitalpa granti,Grant's Golden Mole,Afrosoricida,Chrysochloridae,,none
Micropotamogale lamottei,Nimba Otter-shrew,Afrosoricida,Potamogalidae,,none
Micropotamogale ruwenzorii,Rwenzori Otter-shrew,Afrosoricida,Potamogalidae,,none
Potamogale velox,Giant Otter-shrew,Afrosoricida,Potamogalidae,,none
Geogale aurita,Large-eared Tenrec,Afrosoricida,Tenrecidae,,none
Microgale brevicaudata,Short-tailed Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale cowani,Cowan's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale drouhardi,Drouhard's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale dryas,Dryad Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale fotsifotsy,Pale Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale gracilis,Gracile Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale grandidieri,Grandidier's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale gymnorhyncha,Naked-nosed Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale jenkinsae,Jenkins's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale jobihely,Dark Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale longicaudata,Lesser Long-tailed Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale majori,Major's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale mergulus,Web-footed Tenrec,Afrosoricida,Tenrecidae,,none
Microgale monticola,Montane Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale nasoloi,Nasolo's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale parvula,Pygmy Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale principula,Greater Long-tailed Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale pusilla,Least Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale soricoides,Shrew-toothed Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale taiva,Taiva Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Microgale thomasi,Thomas's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Nesogale dobsoni,Dobson's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Nesogale talazaci,Talazac's Shrew Tenrec,Afrosoricida,Tenrecidae,,none
Oryzorictes hova,Mole-like Rice Tenrec,Afrosoricida,Tenrecidae,,none
Oryzorictes tetradactylus,Four-toed Rice Tenrec,Afrosoricida,Tenrecidae,,none
Echinops telfairi,Lesser Hedgehog Tenrec,Afrosoricida,Tenrecidae,,none
Hemicentetes nigriceps,Highland Streaked Tenrec,Afrosoricida,Tenrecidae,,none
Hemicentetes semispinosus,Lowland Streaked Tenrec,Afrosoricida,Tenrecidae,,none
Setifer setosus,Greater Hedgehog Tenrec,Afrosoricida,Tenrecidae,,none
Tenrec ecaudatus,Tailless Tenrec,Afrosoricida,Tenrecidae,,none
Orycteropus afer,Aardvark,Tubulidentata,Orycteropodidae,,none
Elephas maximus,Asian Elephant,Proboscidea,Elephantidae,Elephas maximus_Asian Elephant,exact
Loxodonta africana,African Savanna Elephant,Proboscidea,Elephantidae,Loxodonta africana_African Savanna Elephant,exact
Loxodonta cyclotis,African Forest Elephant,Proboscidea,Elephantidae,Loxodonta cyclotis_Forest Elephant,exact
Dendrohyrax arboreus,Southern Tree Hyrax,Hyracoidea,Procaviidae,Dendrohyrax arboreus_Southern Tree Hyrax,exact
Dendrohyrax dorsalis,Western Tree Hyrax,Hyracoidea,Procaviidae,Dendrohyrax dorsalis_Western Tree Hyrax,exact
