scientific,common,order,family,tol_name,tol_how,birdnet_label,birdnet_how
Arremon phaeopleurus,Caracas Brushfinch,Passeriformes,Passerellidae,Arremon phaeopleurus,exact,Arremon phaeopleurus_Caracas Brushfinch,exact
Arremon phygas,Paria Brushfinch,Passeriformes,Passerellidae,Arremon phygas,exact,Arremon phygas_Paria Brushfinch,exact
Arremon assimilis,Grey-browed Brushfinch,Passeriformes,Passerellidae,Arremon assimilis,exact,Arremon assimilis_Grey-browed Brushfinch,exact
Arremon torquatus,White-browed Brushfinch,Passeriformes,Passerellidae,Arremon torquatus,exact,Arremon torquatus_White-browed Brushfinch,exact
Arremon aurantiirostris,Orange-billed Sparrow,Passeriformes,Passerellidae,Arremon aurantiirostris,exact,Arremon aurantiirostris_Orange-billed Sparrow,exact
Arremon abeillei,Black-capped Sparrow,Passeriformes,Passerellidae,Arremon abeillei,exact,Arremon abeillei_Black-capped Sparrow,exact
Arremon nigriceps,Maranon Sparrow,Passeriformes,Passerellidae,,none,Arremon nigriceps_Maranon Sparrow,exact
Arremon schlegeli,Golden-winged Sparrow,Passeriformes,Passerellidae,Arremon schlegeli,exact,Arremon schlegeli_Golden-winged Sparrow,exact
Arremon taciturnus,Pectoral Sparrow,Passeriformes,Passerellidae,Arremon taciturnus,exact,Arremon taciturnus_Pectoral Sparrow,exact
Arremon axillaris,Yellow-mandibled Sparrow,Passeriformes,Passerellidae,,none,,none
Arremon franciscanus,Sao Francisco Sparrow,Passeriformes,Passerellidae,Arremon franciscanus,exact,Arremon franciscanus_Sao Francisco Sparrow,exact
Arremon semitorquatus,Half-collared Sparrow,Passeriformes,Passerellidae,Arremon semitorquatus,exact,Arremon semitorquatus_Half-collared Sparrow,exact
Arremon dorbignii,Moss-backed Sparrow,Passeriformes,Passerellidae,Arremon dorbignii,exact,Arremon dorbignii_Moss-backed Sparrow,exact
Arremon flavirostris,Saffron-billed Sparrow,Passeriformes,Passerellidae,Arremon flavirostris,exact,Arremon flavirostris_Saffron-billed Sparrow,exact
Arremon virenticeps,Green-striped Brushfinch,Passeriformes,Passerellidae,Arremon virenticeps,exact,Arremon virenticeps_Green-striped Brushfinch,exact
Arremon brunneinucha,Chestnut-capped Brushfinch,Passeriformes,Passerellidae,Arremon brunneinucha,exact,Arremon brunneinucha_Chestnut-capped Brushfinch,exact
Arremon crassirostris,Sooty-faced Finch,Passeriformes,Passerellidae,Arremon crassirostris,exact,Arremon crassirostris_Sooty-faced Finch,exact
Arremon castaneiceps,Olive Finch,Passeriformes,Passerellidae,Arremon castaneiceps,exact,Arremon castaneiceps_Olive Finch,exact
Spizelloides arborea,American Tree Sparrow,Passeriformes,Passerellidae,Spizelloides arborea,exact,Spizelloides arborea_American Tree Sparrow,exact
Passerella iliaca,Fox Sparrow,Passeriformes,Passerellidae,Passerella iliaca,exact,Passerella iliaca_Fox Sparrow,exact
Junco hyemalis,Dark-eyed Junco,Passeriformes,Passerellidae,Junco hyemalis,exact,Junco hyemalis_Dark-eyed Junco,exact
Junco insularis,Guadalupe Junco,Passeriformes,Passerellidae,Junco insularis,exact,,none
Junco phaeonotus,Yellow-eyed Junco,Passeriformes,Passerellidae,Junco phaeonotus,exact,Junco phaeonotus_Yellow-eyed Junco,exact
Junco bairdi,Baird's Junco,Passeriformes,Passerellidae,Junco bairdi,exact,Junco bairdi_Baird's Junco,exact
Junco vulcani,Volcano Junco,Passeriformes,Passerellidae,Junco vulcani,exact,Junco vulcani_Volcano Junco,exact
Zonotrichia capensis,Rufous-collared Sparrow,Passeriformes,Passerellidae,Zonotrichia capensis,exact,Zonotrichia capensis_Rufous-collared Sparrow,exact
Zonotrichia albicollis,White-throated Sparrow,Passeriformes,Passerellidae,Zonotrichia albicollis,exact,Zonotrichia albicollis_White-throated Sparrow,exact
Zonotrichia querula,Harris's Sparrow,Passeriformes,Passerellidae,Zonotrichia querula,exact,Zonotrichia querula_Harris's Sparrow,exact
Zonotrichia atricapilla,Golden-crowned Sparrow,Passeriformes,Passerellidae,Zonotrichia atricapilla,exact,Zonotrichia atricapilla_Golden-crowned Sparrow,exact
Zonotrichia leucophrys,White-crowned Sparrow,Passeriformes,Passerellidae,Zonotrichia leucophrys,exact,Zonotrichia leucophrys_White-crowned Sparrow,exact
Pooecetes gramineus,Vesper Sparrow,Passeriformes,Passerellidae,Pooecetes gramineus,exact,Pooecetes gramineus_Vesper Sparrow,exact
Artemisiospiza nevadensis,Sagebrush Sparrow,Passeriformes,Passerellidae,Artemisiospiza nevadensis,exact,Artemisiospiza nevadensis_Sagebrush Sparrow,exact
Artemisiospiza belli,Bell's Sparrow,Passeriformes,Passerellidae,Artemisiospiza belli,exact,Artemisiospiza belli_Bell's Sparrow,exact
Oriturus superciliosus,Striped Sparrow,Passeriformes,Passerellidae,Oriturus superciliosus,exact,Oriturus superciliosus_Striped Sparrow,exact
Ammospiza leconteii,LeConte's Sparrow,Passeriformes,Passerellidae,Ammospiza leconteii,exact,Ammospiza leconteii_LeConte's Sparrow,exact
Ammospiza maritima,Seaside Sparrow,Passeriformes,Passerellidae,Ammospiza maritima,exact,Ammospiza maritima_Seaside Sparrow,exact
Ammospiza nelsoni,Nelson's Sparrow,Passeriformes,Passerellidae,Ammospiza nelsoni,exact,Ammospiza nelsoni_Nelson's Sparrow,exact
Ammospiza caudacuta,Saltmarsh Sparrow,Passeriformes,Passerellidae,Ammospiza caudacuta,exact,Ammospiza caudacuta_Saltmarsh Sparrow,exact
Passerculus sandwichensis,Savannah Sparrow,Passeriformes,Passerellidae,Passerculus sandwichensis,exact,Passerculus sandwichensis_Savannah Sparrow,exact
Centronyx bairdii,Baird's Sparrow,Passeriformes,Passerellidae,Centronyx bairdii,exact,Centronyx bairdii_Baird's Sparrow,exact
Centronyx henslowii,Henslow's Sparrow,Passeriformes,Passerellidae,Centronyx henslowii,exact,Centronyx henslowii_Henslow's Sparrow,exact
Xenospiza baileyi,Sierra Madre Sparrow,Passeriformes,Passerellidae,Xenospiza baileyi,exact,Xenospiza baileyi_Sierra Madre Sparrow,exact
Melospiza melodia,Song Sparrow,Passeriformes,Passerellidae,Melospiza melodia,exact,Melospiza melodia_Song Sparrow,exact
Melospiza georgiana,Swamp Sparrow,Passeriformes,Passerellidae,Melospiza georgiana,exact,Melospiza georgiana_Swamp Sparrow,exact
Melospiza lincolnii,Lincoln's Sparrow,Passeriformes,Passerellidae,Melospiza lincolnii,exact,Melospiza lincolnii_Lincoln's Sparrow,exact
Aimophila rufescens,Rusty Sparrow,Passeriformes,Passerellidae,Aimophila rufescens,exact,Aimophila rufescens_Rusty Sparrow,exact
Aimophila ruficeps,Rufous-crowned Sparrow,Passeriformes,Passerellidae,Aimophila ruficeps,exact,Aimophila ruficeps_Rufous-crowned Sparrow,exact
Aimophila notosticta,Oaxaca Sparrow,Passeriformes,Passerellidae,Aimophila notosticta,exact,Aimophila notosticta_Oaxaca Sparrow,exact
Melozone kieneri,Rusty-crowned Ground Sparrow,Passeriformes,Passerellidae,Melozone kieneri,exact,Melozone kieneri_Rusty-crowned Ground Sparrow,exact
Melozone fusca,Canyon Towhee,Passeriformes,Passerellidae,Melozone fusca,exact,Melozone fusca_Canyon Towhee,exact
Melozone albicollis,White-throated Towhee,Passeriformes,Passerellidae,Melozone albicollis,exact,Melozone albicollis_White-throated Towhee,exact
Melozone aberti,Abert's Towhee,Passeriformes,Passerellidae,Melozone aberti,exact,Melozone aberti_Abert's Towhee,exact
Melozone crissalis,California Towhee,Passeriformes,Passerellidae,Melozone crissalis,exact,Melozone crissalis_California Towhee,exact
Melozone leucotis,White-eared Ground Sparrow,Passeriformes,Passerellidae,Melozone leucotis,exact,Melozone leucotis_White-eared Ground Sparrow,exact
Melozone occipitalis,Grey-crowned Ground Sparrow,Passeriformes,Passerellidae,,none,Melozone occipitalis_Grey-crowned Ground Sparrow,exact
Melozone biarcuata,Prevost's Ground Sparrow,Passeriformes,Passerellidae,Melozone biarcuata,exact,Melozone biarcuata_Prevost's Ground Sparrow,exact
Melozone cabanisi,Cabanis's Ground Sparrow,Passeriformes,Passerellidae,Melozone cabanisi,exact,Melozone cabanisi_Cabanis's Ground Sparrow,exact
Pezopetes capitalis,Large-footed Finch,Passeriformes,Passerellidae,Pezopetes capitalis,exact,Pezopetes capitalis_Large-footed Finch,exact
Torreornis inexpectata,Zapata Sparrow,Passeriformes,Passerellidae,Torreornis inexpectata,exact,Torreornis inexpectata_Zapata Sparrow,exact
Pipilo chlorurus,Green-tailed Towhee,Passeriformes,Passerellidae,Pipilo chlorurus,exact,Pipilo chlorurus_Green-tailed Towhee,exact
Pipilo maculatus,Spotted Towhee,Passeriformes,Passerellidae,Pipilo maculatus,exact,Pipilo maculatus_Spotted Towhee,exact
Pipilo erythrophthalmus,Eastern Towhee,Passeriformes,Passerellidae,Pipilo erythrophthalmus,exact,Pipilo erythrophthalmus_Eastern Towhee,exact
Pipilo naufragus,Bermuda Towhee,Passeriformes,Passerellidae,,none,,none
Pipilo ocai,Collared Towhee,Passeriformes,Passerellidae,Pipilo ocai,exact,Pipilo ocai_Collared Towhee,exact
Atlapetes pileatus,Rufous-capped Brushfinch,Passeriformes,Passerellidae,Atlapetes pileatus,exact,Atlapetes pileatus_Rufous-capped Brushfinch,exact
Atlapetes albinucha,White-naped Brushfinch,Passeriformes,Passerellidae,Atlapetes albinucha,exact,Atlapetes albinucha_White-naped Brushfinch,exact
Atlapetes tibialis,Yellow-thighed Brushfinch,Passeriformes,Passerellidae,Atlapetes tibialis,exact,Atlapetes tibialis_Yellow-thighed Brushfinch,exact
Atlapetes luteoviridis,Yellow-green Brushfinch,Passeriformes,Passerellidae,Atlapetes luteoviridis,exact,Atlapetes luteoviridis_Yellow-green Brushfinch,exact
Atlapetes albofrenatus,Moustached Brushfinch,Passeriformes,Passerellidae,Atlapetes albofrenatus,exact,Atlapetes albofrenatus_Moustached Brushfinch,exact
Atlapetes personatus,Tepui Brushfinch,Passeriformes,Passerellidae,Atlapetes personatus,exact,Atlapetes personatus_Tepui Brushfinch,exact
Atlapetes melanocephalus,Santa Marta Brushfinch,Passeriformes,Passerellidae,Atlapetes melanocephalus,exact,Atlapetes melanocephalus_Santa Marta Brushfinch,exact
Atlapetes semirufus,Ochre-breasted Brushfinch,Passeriformes,Passerellidae,Atlapetes semirufus,exact,Atlapetes semirufus_Ochre-breasted Brushfinch,exact
Atlapetes flaviceps,Yellow-headed Brushfinch,Passeriformes,Passerellidae,Atlapetes flaviceps,exact,Atlapetes flaviceps_Yellow-headed Brushfinch,exact
Atlapetes fuscoolivaceus,Dusky-headed Brushfinch,Passeriformes,Passerellidae,Atlapetes fuscoolivaceus,exact,Atlapetes fuscoolivaceus_Dusky-headed Brushfinch,exact
Atlapetes leucopis,White-rimmed Brushfinch,Passeriformes,Passerellidae,Atlapetes leucopis,exact,Atlapetes leucopis_White-rimmed Brushfinch,exact
Atlapetes albiceps,White-headed Brushfinch,Passeriformes,Passerellidae,Atlapetes albiceps,exact,Atlapetes albiceps_White-headed Brushfinch,exact
Atlapetes rufigenis,Rufous-eared Brushfinch,Passeriformes,Passerellidae,Atlapetes rufigenis,exact,Atlapetes rufigenis_Rufous-eared Brushfinch,exact
Atlapetes crassus,Choco Brushfinch,Passeriformes,Passerellidae,Atlapetes crassus,exact,Atlapetes crassus_Choco Brushfinch,exact
Atlapetes tricolor,Tricolored Brushfinch,Passeriformes,Passerellidae,Atlapetes tricolor,exact,Atlapetes tricolor_Tricolored Brushfinch,exact
Atlapetes schistaceus,Slaty Brushfinch,Passeriformes,Passerellidae,Atlapetes schistaceus,exact,Atlapetes schistaceus_Slaty Brushfinch,exact
Atlapetes taczanowskii,Taczanowski's Brushfinch,Passeriformes,Passerellidae,,none,Atlapetes taczanowskii_Taczanowski's Brushfinch,exact
Atlapetes pallidinucha,Pale-naped Brushfinch,Passeriformes,Passerellidae,Atlapetes pallidinucha,exact,Atlapetes pallidinucha_Pale-naped Brushfinch,exact
Atlapetes blancae,Antioquia Brushfinch,Passeriformes,Passerellidae,Atlapetes blancae,exact,Atlapetes blancae_Antioquia Brushfinch,exact
Atlapetes latinuchus,Yellow-breasted Brushfinch,Passeriformes,Passerellidae,Atlapetes latinuchus,exact,Atlapetes latinuchus_Yellow-breasted Brushfinch,exact
Atlapetes nigrifrons,Black-fronted Brushfinch,Passeriformes,Passerellidae,Atlapetes nigrifrons,exact,,none
Atlapetes leucopterus,White-winged Brushfinch,Passeriformes,Passerellidae,Atlapetes leucopterus,exact,Atlapetes leucopterus_White-winged Brushfinch,exact
Atlapetes pallidiceps,Pale-headed Brushfinch,Passeriformes,Passerellidae,Atlapetes pallidiceps,exact,Atlapetes pallidiceps_Pale-headed Brushfinch,exact
Atlapetes seebohmi,Bay-crowned Brushfinch,Passeriformes,Passerellidae,Atlapetes seebohmi,exact,Atlapetes seebohmi_Bay-crowned Brushfinch,exact
Atlapetes nationi,Rusty-bellied Brushfinch,Passeriformes,Passerellidae,Atlapetes nationi,exact,Atlapetes nationi_Rusty-bellied Brushfinch,exact
Atlapetes forbesi,Apurimac Brushfinch,Passeriformes,Passerellidae,Atlapetes forbesi,exact,Atlapetes forbesi_Apurimac Brushfinch,exact
Atlapetes melanopsis,Black-spectacled Brushfinch,Passeriformes,Passerellidae,Atlapetes melanopsis,exact,Atlapetes melanopsis_Black-spectacled Brushfinch,exact
Atlapetes terborghi,Vilcabamba Brushfinch,Passeriformes,Passerellidae,,none,,none
Atlapetes canigenis,Cuzco Brushfinch,Passeriformes,Passerellidae,Atlapetes canigenis,exact,Atlapetes canigenis_Cuzco Brushfinch,exact
Atlapetes melanolaemus,Grey-eared Brushfinch,Passeriformes,Passerellidae,Atlapetes melanolaemus,exact,Atlapetes melanolaemus_Grey-eared Brushfinch,exact
Atlapetes rufinucha,Bolivian Brushfinch,Passeriformes,Passerellidae,Atlapetes rufinucha,exact,Atlapetes rufinucha_Bolivian Brushfinch,exact
Atlapetes fulviceps,Fulvous-headed Brushfinch,Passeriformes,Passerellidae,Atlapetes fulviceps,exact,Atlapetes fulviceps_Fulvous-headed Brushfinch,exact
Atlapetes citrinellus,Yellow-striped Brushfinch,Passeriformes,Passerellidae,Atlapetes citrinellus,exact,Atlapetes citrinellus_Yellow-striped Brushfinch,exact
Calyptophilus tertius,Western Chat-Tanager,Passeriformes,Calyptophilidae,Calyptophilus tertius,exact,Calyptophilus tertius_Western Chat-Tanager,exact
Calyptophilus frugivorus,Eastern Chat-Tanager,Passeriformes,Calyptophilidae,Calyptophilus frugivorus,exact,Calyptophilus frugivorus_Eastern Chat-Tanager,exact
Zeledonia coronata,Wrenthrush,Passeriformes,Zeledoniidae,Zeledonia coronata,exact,Zeledonia coronata_Wrenthrush,exact
Xenoligea montana,White-winged Warbler,Passeriformes,Phaenicophilidae,Xenoligea montana,exact,Xenoligea montana_White-winged Warbler,exact
Microligea palustris,Green-tailed Warbler,Passeriformes,Phaenicophilidae,Microligea palustris,exact,Microligea palustris_Green-tailed Warbler,exact
Phaenicophilus palmarum,Black-crowned Palm-tanager,Passeriformes,Phaenicophilidae,Phaenicophilus palmarum,exact,Phaenicophilus palmarum_Black-crowned Palm-tanager,exact
Phaenicophilus poliocephalus,Grey-crowned Palm-tanager,Passeriformes,Phaenicophilidae,Phaenicophilus poliocephalus,exact,Phaenicophilus poliocephalus_Grey-crowned Palm-tanager,exact
Nesospingus speculiferus,Puerto Rican Tanager,Passeriformes,Nesospingidae,Nesospingus speculiferus,exact,Nesospingus speculiferus_Puerto Rican Tanager,exact
Spindalis zena,Western Spindalis,Passeriformes,Spindalidae,Spindalis zena,exact,Spindalis zena_Western Spindalis,exact
Spindalis nigricephala,Jamaican Spindalis,Passeriformes,Spindalidae,Spindalis nigricephala,exact,Spindalis nigricephala_Jamaican Spindalis,exact
Spindalis dominicensis,Hispaniolan Spindalis,Passeriformes,Spindalidae,Spindalis dominicensis,exact,Spindalis dominicensis_Hispaniolan Spindalis,exact
Spindalis portoricensis,Puerto Rican Spindalis,Passeriformes,Spindalidae,Spindalis portoricensis,exact,Spindalis portoricensis_Puerto Rican Spindalis,exact
Teretistris fernandinae,Yellow-headed Warbler,Passeriformes,Teretistridae,Teretistris fernandinae,exact,Teretistris fernandinae_Yellow-headed Warbler,exact
Teretistris fornsi,Oriente Warbler,Passeriformes,Teretistridae,Teretistris fornsi,exact,Teretistris fornsi_Oriente Warbler,exact
Icteria virens,Yellow-breasted Chat,Passeriformes,Icteridae,Icteria virens,exact,Icteria virens_Yellow-breasted Chat,exact
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,Passeriformes,Icteridae,Xanthocephalus xanthocephalus,exact,Xanthocephalus xanthocephalus_Yellow-headed Blackbird,exact
Dolichonyx oryzivorus,Bobolink,Passeriformes,Icteridae,Dolichonyx oryzivorus,exact,Dolichonyx oryzivorus_Bobolink,exact
Sturnella neglecta,Western Meadowlark,Passeriformes,Icteridae,Sturnella neglecta,exact,Sturnella neglecta_Western Meadowlark,exact
Sturnella magna,Eastern Meadowlark,Passeriformes,Icteridae,Sturnella magna,exact,Sturnella magna_Eastern Meadowlark,exact
Sturnella lilianae,Chihuahuan Meadowlark,Passeriformes,Icteridae,Sturnella lilianae,exact,Sturnella lilianae_Chihuahuan Meadowlark,exact
Leistes militaris,Red-breasted Meadowlark,Passeriformes,Icteridae,,none,Leistes militaris_Red-breasted Meadowlark,exact
Leistes superciliaris,White-browed Meadowlark,Passeriformes,Icteridae,,none,Leistes superciliaris_White-browed Meadowlark,exact
Leistes bellicosus,Peruvian Meadowlark,Passeriformes,Icteridae,,none,Leistes bellicosus_Peruvian Meadowlark,exact
Leistes defilippii,Pampas Meadowlark,Passeriformes,Icteridae,,none,Leistes defilippii_Pampas Meadowlark,exact
Leistes loyca,Long-tailed Meadowlark,Passeriformes,Icteridae,,none,Leistes loyca_Long-tailed Meadowlark,exact
Amblycercus holosericeus,Yellow-billed Cacique,Passeriformes,Icteridae,Amblycercus holosericeus,exact,Amblycercus holosericeus_Yellow-billed Cacique,exact
Cassiculus melanicterus,Mexican Cacique,Passeriformes,Icteridae,,none,Cassiculus melanicterus_Mexican Cacique,exact
Psarocolius angustifrons,Russet-backed Oropendola,Passeriformes,Icteridae,Psarocolius angustifrons,exact,Psarocolius angustifrons_Russet-backed Oropendola,exact
Psarocolius atrovirens,Dusky-green Oropendola,Passeriformes,Icteridae,Psarocolius atrovirens,exact,Psarocolius atrovirens_Dusky-green Oropendola,exact
Psarocolius viridis,Green Oropendola,Passeriformes,Icteridae,Psarocolius viridis,exact,Psarocolius viridis_Green Oropendola,exact
Psarocolius decumanus,Crested Oropendola,Passeriformes,Icteridae,Psarocolius decumanus,exact,Psarocolius decumanus_Crested Oropendola,exact
Psarocolius wagleri,Chestnut-headed Oropendola,Passeriformes,Icteridae,Psarocolius wagleri,exact,Psarocolius wagleri_Chestnut-headed Oropendola,exact
Psarocolius montezuma,Montezuma Oropendola,Passeriformes,Icteridae,Psarocolius montezuma,exact,Psarocolius montezuma_Montezuma Oropendola,exact
Psarocolius guatimozinus,Black Oropendola,Passeriformes,Icteridae,Psarocolius guatimozinus,exact,Psarocolius guatimozinus_Black Oropendola,exact
Psarocolius cassini,Baudo Oropendola,Passeriformes,Icteridae,Psarocolius cassini,exact,Psarocolius cassini_Baudo Oropendola,exact
Psarocolius bifasciatus,Olive Oropendola,Passeriformes,Icteridae,Psarocolius bifasciatus,exact,Psarocolius bifasciatus_Olive Oropendola,exact
Cacicus solitarius,Solitary Cacique,Passeriformes,Icteridae,Cacicus solitarius,exact,Cacicus solitarius_Solitary Cacique,exact
Cacicus chrysopterus,Golden-winged Cacique,Passeriformes,Icteridae,Cacicus chrysopterus,exact,Cacicus chrysopterus_Golden-winged Cacique,exact
Cacicus sclateri,Ecuadorian Cacique,Passeriformes,Icteridae,Cacicus sclateri,exact,Cacicus sclateri_Ecuadorian Cacique,exact
Cacicus koepckeae,Selva Cacique,Passeriformes,Icteridae,,none,Cacicus koepckeae_Selva Cacique,exact
Cacicus uropygialis,Scarlet-rumped Cacique,Passeriformes,Icteridae,Cacicus uropygialis,exact,Cacicus uropygialis_Scarlet-rumped Cacique,exact
Cacicus cela,Yellow-rumped Cacique,Passeriformes,Icteridae,Cacicus cela,exact,Cacicus cela_Yellow-rumped Cacique,exact
Cacicus chrysonotus,Mountain Cacique,Passeriformes,Icteridae,Cacicus chrysonotus,exact,Cacicus chrysonotus_Mountain Cacique,exact
Cacicus latirostris,Band-tailed Cacique,Passeriformes,Icteridae,,none,Cacicus latirostris_Band-tailed Cacique,exact
Cacicus haemorrhous,Red-rumped Cacique,Passeriformes,Icteridae,Cacicus haemorrhous,exact,Cacicus haemorrhous_Red-rumped Cacique,exact
Cacicus oseryi,Casqued Cacique,Passeriformes,Icteridae,,none,Cacicus oseryi_Casqued Cacique,exact
Icterus dominicensis,Hispaniolan Oriole,Passeriformes,Icteridae,Icterus dominicensis,exact,Icterus dominicensis_Hispaniolan Oriole,exact
Icterus melanopsis,Cuban Oriole,Passeriformes,Icteridae,,none,Icterus melanopsis_Cuban Oriole,exact
Icterus northropi,Bahama Oriole,Passeriformes,Icteridae,Icterus northropi,exact,Icterus northropi_Bahama Oriole,exact
Icterus portoricensis,Puerto Rican Oriole,Passeriformes,Icteridae,Icterus portoricensis,exact,Icterus portoricensis_Puerto Rican Oriole,exact
Icterus laudabilis,St. Lucia Oriole,Passeriformes,Icteridae,Icterus laudabilis,exact,Icterus laudabilis_St. Lucia Oriole,exact
Icterus oberi,Montserrat Oriole,Passeriformes,Icteridae,Icterus oberi,exact,Icterus oberi_Montserrat Oriole,exact
Icterus bonana,Martinique Oriole,Passeriformes,Icteridae,Icterus bonana,exact,Icterus bonana_Martinique Oriole,exact
Icterus wagleri,Black-vented Oriole,Passeriformes,Icteridae,Icterus wagleri,exact,Icterus wagleri_Black-vented Oriole,exact
Icterus maculialatus,Bar-winged Oriole,Passeriformes,Icteridae,Icterus maculialatus,exact,Icterus maculialatus_Bar-winged Oriole,exact
Icterus prosthemelas,Black-cowled Oriole,Passeriformes,Icteridae,Icterus prosthemelas,exact,Icterus prosthemelas_Black-cowled Oriole,exact
Icterus spurius,Orchard Oriole,Passeriformes,Icteridae,Icterus spurius,exact,Icterus spurius_Orchard Oriole,exact
Icterus cucullatus,Hooded Oriole,Passeriformes,Icteridae,Icterus cucullatus,exact,Icterus cucullatus_Hooded Oriole,exact
Icterus chrysater,Yellow-backed Oriole,Passeriformes,Icteridae,Icterus chrysater,exact,Icterus chrysater_Yellow-backed Oriole,exact
Icterus auricapillus,Orange-crowned Oriole,Passeriformes,Icteridae,Icterus auricapillus,exact,Icterus auricapillus_Orange-crowned Oriole,exact
Icterus graceannae,White-edged Oriole,Passeriformes,Icteridae,Icterus graceannae,exact,Icterus graceannae_White-edged Oriole,exact
Icterus mesomelas,Yellow-tailed Oriole,Passeriformes,Icteridae,Icterus mesomelas,exact,Icterus mesomelas_Yellow-tailed Oriole,exact
Icterus cayanensis,Epaulet Oriole,Passeriformes,Icteridae,Icterus cayanensis,exact,Icterus cayanensis_Epaulet Oriole,exact
Icterus pyrrhopterus,Variable Oriole,Passeriformes,Icteridae,,none,Icterus pyrrhopterus_Variable Oriole,exact
Icterus icterus,Venezuelan Troupial,Passeriformes,Icteridae,Icterus icterus,exact,Icterus icterus_Venezuelan Troupial,exact
Icterus jamacaii,Campo Troupial,Passeriformes,Icteridae,,none,Icterus jamacaii_Campo Troupial,exact
Icterus croconotus,Orange-backed Troupial,Passeriformes,Icteridae,,none,Icterus croconotus_Orange-backed Troupial,exact
Icterus pustulatus,Streak-backed Oriole,Passeriformes,Icteridae,Icterus pustulatus,exact,Icterus pustulatus_Streak-backed Oriole,exact
Icterus bullockiorum,Bullock's Oriole,Passeriformes,Icteridae,Icterus bullockiorum,exact,,none
Icterus auratus,Orange Oriole,Passeriformes,Icteridae,Icterus auratus,exact,Icterus auratus_Orange Oriole,exact
Icterus leucopteryx,Jamaican Oriole,Passeriformes,Icteridae,Icterus leucopteryx,exact,Icterus leucopteryx_Jamaican Oriole,exact
Icterus nigrogularis,Yellow Oriole,Passeriformes,Icteridae,Icterus nigrogularis,exact,Icterus nigrogularis_Yellow Oriole,exact
Icterus pectoralis,Spot-breasted Oriole,Passeriformes,Icteridae,Icterus pectoralis,exact,Icterus pectoralis_Spot-breasted Oriole,exact
Icterus gularis,Altamira Oriole,Passeriformes,Icteridae,Icterus gularis,exact,Icterus gularis_Altamira Oriole,exact
Icterus graduacauda,Audubon's Oriole,Passeriformes,Icteridae,Icterus graduacauda,exact,Icterus graduacauda_Audubon's Oriole,exact
Icterus galbula,Baltimore Oriole,Passeriformes,Icteridae,Icterus galbula,exact,Icterus galbula_Baltimore Oriole,exact
Icterus abeillei,Black-backed Oriole,Passeriformes,Icteridae,Icterus abeillei,exact,Icterus abeillei_Black-backed Oriole,exact
Icterus parisorum,Scott's Oriole,Passeriformes,Icteridae,Icterus parisorum,exact,Icterus parisorum_Scott's Oriole,exact
Nesopsar nigerrimus,Jamaican Blackbird,Passeriformes,Icteridae,Nesopsar nigerrimus,exact,Nesopsar nigerrimus_Jamaican Blackbird,exact
Agelaius phoeniceus,Red-winged Blackbird,Passeriformes,Icteridae,Agelaius phoeniceus,exact,Agelaius phoeniceus_Red-winged Blackbird,exact
Agelaius assimilis,Red-shouldered Blackbird,Passeriformes,Icteridae,Agelaius assimilis,exact,Agelaius assimilis_Red-shouldered Blackbird,exact
Agelaius tricolor,Tricolored Blackbird,Passeriformes,Icteridae,Agelaius tricolor,exact,Agelaius tricolor_Tricolored Blackbird,exact
Agelaius humeralis,Tawny-shouldered Blackbird,Passeriformes,Icteridae,Agelaius humeralis,exact,Agelaius humeralis_Tawny-shouldered Blackbird,exact
Agelaius xanthomus,Yellow-shouldered Blackbird,Passeriformes,Icteridae,Agelaius xanthomus,exact,Agelaius xanthomus_Yellow-shouldered Blackbird,exact
Molothrus rufoaxillaris,Screaming Cowbird,Passeriformes,Icteridae,Molothrus rufoaxillaris,exact,Molothrus rufoaxillaris_Screaming Cowbird,exact
Molothrus bonariensis,Shiny Cowbird,Passeriformes,Icteridae,Molothrus bonariensis,exact,Molothrus bonariensis_Shiny Cowbird,exact
Molothrus aeneus,Bronzed Cowbird,Passeriformes,Icteridae,Molothrus aeneus,exact,Molothrus aeneus_Bronzed Cowbird,exact
Molothrus armenti,Bronze-brown Cowbird,Passeriformes,Icteridae,,none,,none
Molothrus ater,Brown-headed Cowbird,Passeriformes,Icteridae,Molothrus ater,exact,Molothrus ater_Brown-headed Cowbird,exact
Molothrus oryzivorus,Giant Cowbird,Passeriformes,Icteridae,Molothrus oryzivorus,exact,Molothrus oryzivorus_Giant Cowbird,exact
Dives dives,Melodious Blackbird,Passeriformes,Icteridae,Dives dives,exact,Dives dives_Melodious Blackbird,exact
Dives warczewiczi,Scrub Blackbird,Passeriformes,Icteridae,Dives warczewiczi,exact,Dives warczewiczi_Scrub Blackbird,exact
Ptiloxena atroviolacea,Cuban Blackbird,Passeriformes,Icteridae,,none,Ptiloxena atroviolacea_Cuban Blackbird,exact
Euphagus cyanocephalus,Brewer's Blackbird,Passeriformes,Icteridae,Euphagus cyanocephalus,exact,Euphagus cyanocephalus_Brewer's Blackbird,exact
Euphagus carolinus,Rusty Blackbird,Passeriformes,Icteridae,Euphagus carolinus,exact,Euphagus carolinus_Rusty Blackbird,exact
Quiscalus quiscula,Common Grackle,Passeriformes,Icteridae,Quiscalus quiscula,exact,Quiscalus quiscula_Common Grackle,exact
Quiscalus major,Boat-tailed Grackle,Passeriformes,Icteridae,Quiscalus major,exact,Quiscalus major_Boat-tailed Grackle,exact
